id;title;content;creation_date;type;location;image;image_content_type;contact;announcement_date
1;hub Steel Cotton;HTTP;2020-11-19T01:09:02;MARKET;multi-state open-source;../fake-data/blob/hipster.png;image/png;Peru Tasty;2020-11-18T19:00:13
2;Reactive;Toys Wyoming;2020-11-18T21:35:54;OTHER;Corporate;../fake-data/blob/hipster.png;image/png;Fantastic;2020-11-19T10:21:10
3;open-source transiti;Florida Vermont teal;2020-11-19T13:04:12;MARKET;Function-based Implementation;../fake-data/blob/hipster.png;image/png;orange Vista;2020-11-19T06:13:26
4;implement open-sourc;scalable Wooden;2020-11-18T19:37:27;NEWS;THX Officer Technician;../fake-data/blob/hipster.png;image/png;CFP Franc Place;2020-11-19T12:12:38
5;Open-source Ergonomi;quantifying matrices cross-platform;2020-11-19T06:39:47;OTHER;Savings Account grey Gorgeous;../fake-data/blob/hipster.png;image/png;focus group;2020-11-19T16:00:38
6;Auto Loan Account in;Direct generate Technician;2020-11-19T06:45:38;EVENT;Vermont Ball;../fake-data/blob/hipster.png;image/png;Mississippi Intelligent parse;2020-11-19T07:57:55
7;infomediaries Latvia;Implemented stable;2020-11-19T09:14:11;NEWS;1080p archive Phased;../fake-data/blob/hipster.png;image/png;transmitting Arkansas;2020-11-19T09:20:55
8;Generic Unbranded Pl;protocol next-generation;2020-11-19T07:00:08;MARKET;reciprocal;../fake-data/blob/hipster.png;image/png;maximize Cape Creative;2020-11-18T21:01:02
9;Cambridgeshire;payment Lebanon Causeway;2020-11-19T11:31:03;OTHER;Gloves strategize;../fake-data/blob/hipster.png;image/png;help-desk Automated;2020-11-18T22:49:34
10;deposit;Jewelery;2020-11-19T06:30:18;OTHER;24/7 Beauty;../fake-data/blob/hipster.png;image/png;asynchronous Ghana Idaho;2020-11-19T04:22:31
