id;cause;payment_info;info;total_amount;contact;amount_raised;active
1;vortals Cotton;Concrete;Tasty Rubber Soap clicks-and-mortar Rubber;53171;Up-sized;88651;false
2;Generic Mexican Peso Mexican Unidad de Inversion (UDI) Senior;embrace projection Administrator;Automotive North Dakota;88071;Diverse Hawaii;82178;true
3;New Hampshire;Rand Loti mobile Developer;Investment Account;4433;models;8633;false
4;Comoro Franc bricks-and-clicks Licensed Frozen Chips;Savings Account withdrawal;red;70732;Table payment fuchsia;28399;true
5;Money Market Account monitoring actuating;Nevada definition;Djibouti Franc;67579;Money Market Account Auto Loan Account embrace;15346;false
6;Trail invoice;Isle of Man Credit Card Account Direct;Fantastic Frozen Soap THX Cook Islands;98002;Integrated Baby;23380;true
7;communities transmitting Buckinghamshire;Chair SCSI transmitting;Netherlands Antilles bandwidth cutting-edge;85541;revolutionary;51357;false
8;capability alarm;bluetooth;primary methodical gold;91500;Sleek;10388;true
9;Fantastic Steel Keyboard;Fantastic morph;Assistant;74619;Plaza;12132;true
10;transmit Place Frozen;Down-sized;encompassing Supervisor Bosnia and Herzegovina;46741;calculating Grocery backing up;28632;false
