id;title;content;type;status;creation_date;image;image_content_type;user_id
1;monitor Station Web;Rufiyaa AI capacitor;SUGGESTION;CLOSED;2020-11-19T08:57:39;../fake-data/blob/hipster.png;image/png;1
2;maximized Frozen;bus;SUGGESTION;OPEN;2020-11-19T06:13:41;../fake-data/blob/hipster.png;image/png;2
3;Croatian Kuna digita;Shoes Refined Cotton Mouse Borders;AUTUMN_COMPLAINT;OPEN;2020-11-19T03:36:17;../fake-data/blob/hipster.png;image/png;1
4;Savings Account depo;Rustic Mauritius;AUTUMN_COMPLAINT;CLOSED;2020-11-18T22:45:24;../fake-data/blob/hipster.png;image/png;2
5;calculating;Borders;AUTUMN_COMPLAINT;CLOSED;2020-11-19T09:29:28;../fake-data/blob/hipster.png;image/png;2
6;Bedfordshire Home Lo;Investment Account Handcrafted;COMPLAINT;OPEN;2020-11-19T10:43:49;../fake-data/blob/hipster.png;image/png;1
7;National Handmade Co;Berkshire Cross-group;WATER_COMPLAINT;CLOSED;2020-11-19T13:24:05;../fake-data/blob/hipster.png;image/png;2
8;Circles Bike envisio;alarm;WATER_COMPLAINT;CLOSED;2020-11-19T01:11:56;../fake-data/blob/hipster.png;image/png;2
9;Divide;tan Missouri;WATER_COMPLAINT;OPEN;2020-11-19T15:37:25;../fake-data/blob/hipster.png;image/png;1
10;Cheese deposit;impactful;SECURITY_COMPLAINT;OPEN;2020-11-19T16:26:57;../fake-data/blob/hipster.png;image/png;2
