id;quantity;note;user_id;need_id
1;bus killer Equatorial Guinea;proactive Ecuador;2;1
2;Garden;Credit Card Account;1;2
3;moderator Malagasy Ariary HDD;New Hampshire seize firewall;2;3
4;New Hampshire;Steel port forecast;2;4
5;Poland deposit;Computer Bedfordshire Grocery;2;5
6;Developer;View;1;6
7;bandwidth Global Rhode Island;Cambridgeshire;2;7
8;Buckinghamshire Personal Loan Account;deposit Steel;2;8
9;value-added Extended;back up Credit Card Account;1;9
10;standardization solid state primary;Rustic Rubber Mouse Louisiana Shirt;2;10
