id;question;active;created_by;creation_date
1;overriding integrated;false;Money Market Account pink Nauru;2020-11-19T03:05:57
2;synergize;true;Burkina Faso matrix Corporate;2020-11-19T01:27:11
3;open-source fuchsia Fresh;false;Bedfordshire;2020-11-19T00:43:37
4;Divide;false;Oklahoma withdrawal;2020-11-19T09:36:41
5;digital COM;true;Soft Officer;2020-11-19T17:31:01
6;Tasty synthesizing Michigan;false;AI;2020-11-19T03:28:25
7;solid state infomediaries Automotive;true;cultivate;2020-11-19T10:08:23
8;Auto Loan Account;false;Square Money Market Account;2020-11-18T19:48:18
9;Plain Concrete transmit;false;1080p Money Market Account;2020-11-19T04:04:46
10;navigating;true;Lilangeni;2020-11-19T09:12:33
